road_segment_id,times_in_top10,times_in_top20,times_in_top50,historical_accident_count,positive_rows,mean_model_score,mean_baseline_score
10151537925_2473125961_0,168,168,168,10,0,0.5133877871313158,10.0
10283911100_10283963125_0,168,168,168,9,0,0.5352474478594631,9.0
1774378923_3270477086_0,168,168,168,26,0,0.5429816965472706,26.0
2633362585_12744460691_0,168,168,168,30,0,0.5035623227165341,30.0
2633614728_6184539538_0,168,168,168,29,0,0.5064272371817994,29.0
267482564_2504744970_0,168,168,168,15,0,0.5131927298830926,15.0
2680171166_4440521248_0,168,168,168,31,0,0.5755790219754369,31.0
277328586_4907856432_0,168,168,168,15,0,0.5267357248579705,15.0
798212936_1771857195_0,168,168,168,8,0,0.5007701939735588,8.0
268160870_2635276528_0,133,168,168,8,0,0.4955170926409937,8.0
6557359029_278445246_0,35,168,168,26,24,0.4862767317574256,25.208333333333332
1342895804_4920208098_0,0,168,168,20,0,0.4760157524954213,20.0
13597832552_13911504132_0,0,168,168,22,0,0.47648037849392383,22.0
1771525388_1784289654_0,0,168,168,13,0,0.4756268683491759,13.0
1847907122_1847907140_0,0,168,168,16,0,0.4855077438511329,16.0
1915777849_2635466350_0,0,168,168,12,0,0.4870654670857587,12.0
268159967_1794307940_0,0,168,168,12,0,0.4737452814684763,12.0
339057204_339057206_0,0,168,168,31,0,0.4799480712449694,31.0
4920208098_798212905_0,0,168,168,12,0,0.4726573733043233,12.0
4974088126_7687687240_0,0,94,168,8,0,0.46957493137211365,8.0
12752188206_2445563640_0,0,74,74,11,3,0.41322608100415603,11.0
1238541538_6557359029_0,0,0,168,10,0,0.46078602498285515,10.0
1275907493_1275907503_0,0,0,168,12,0,0.4588886843980727,12.0
1466675960_10994063346_0,0,0,168,8,0,0.4461468184230751,8.0
1771552546_1773321116_0,0,0,168,7,0,0.4576293752657153,7.0
1774384917_2385455021_0,0,0,168,8,0,0.46139413839023635,8.0
1774432241_1774438064_0,0,0,168,13,0,0.44771511628268423,13.0
1788359769_1773676284_0,0,0,168,9,0,0.44886294440893526,9.0
2316660594_2389174641_0,0,0,168,9,0,0.4529531670965713,9.0
2515158867_271188377_0,0,0,168,8,0,0.45513640083380075,8.0
